,salt_vavg,time
0,12.857765921380908,2010-01-01 00:00:00
1,12.832506370179612,2010-01-01 02:00:00
2,12.82575973247913,2010-01-01 04:00:00
3,12.82773287698754,2010-01-01 06:00:00
4,12.817187629929839,2010-01-01 08:00:00
5,12.796203323546282,2010-01-01 10:00:00
6,12.767278678651534,2010-01-01 12:00:00
7,12.737219724950474,2010-01-01 14:00:00
8,12.71725917304885,2010-01-01 16:00:00
9,12.706352602511856,2010-01-01 18:00:00
10,12.744106423808878,2010-01-01 20:00:00
11,12.888905656947955,2010-01-01 22:00:00
12,13.107709885765214,2010-01-02 00:00:00
13,13.346351579404045,2010-01-02 02:00:00
14,13.54884274903592,2010-01-02 04:00:00
15,13.66423655073929,2010-01-02 06:00:00
16,13.649080495787171,2010-01-02 08:00:00
17,13.48888443789168,2010-01-02 10:00:00
18,13.228141636588813,2010-01-02 12:00:00
19,12.970501821879985,2010-01-02 14:00:00
20,12.834029866472914,2010-01-02 16:00:00
21,12.775678661075943,2010-01-02 18:00:00
22,12.782225492000299,2010-01-02 20:00:00
23,12.893602741639915,2010-01-02 22:00:00
24,13.088360098549465,2010-01-03 00:00:00
25,13.311754783388709,2010-01-03 02:00:00
26,13.51885296236651,2010-01-03 04:00:00
27,13.688997718720891,2010-01-03 06:00:00
28,13.788360140639233,2010-01-03 08:00:00
29,13.735294296735193,2010-01-03 10:00:00
30,13.552784880405301,2010-01-03 12:00:00
31,13.314231627841183,2010-01-03 14:00:00
32,13.112219422073544,2010-01-03 16:00:00
33,13.007909888997466,2010-01-03 18:00:00
34,13.022366906531218,2010-01-03 20:00:00
35,13.176208066784397,2010-01-03 22:00:00
36,13.416760507533711,2010-01-04 00:00:00
37,13.663716587885597,2010-01-04 02:00:00
38,13.86514239774114,2010-01-04 04:00:00
39,14.015089686264192,2010-01-04 06:00:00
40,14.123144871876331,2010-01-04 08:00:00
41,14.176315832208637,2010-01-04 10:00:00
42,14.166562143553183,2010-01-04 12:00:00
43,14.074908998374546,2010-01-04 14:00:00
44,13.946340048944093,2010-01-04 16:00:00
45,13.856824374868062,2010-01-04 18:00:00
46,13.878276528962411,2010-01-04 20:00:00
47,14.019011199799527,2010-01-04 22:00:00
48,14.20334555781659,2010-01-05 00:00:00
49,14.356204908985152,2010-01-05 02:00:00
50,14.443342146851935,2010-01-05 04:00:00
51,14.487221112551204,2010-01-05 06:00:00
52,14.530921197635271,2010-01-05 08:00:00
53,14.583054631085604,2010-01-05 10:00:00
54,14.614158105901199,2010-01-05 12:00:00
55,14.5936731844424,2010-01-05 14:00:00
56,14.520615717990877,2010-01-05 16:00:00
57,14.435789430172692,2010-01-05 18:00:00
58,14.40741041421801,2010-01-05 20:00:00
59,14.462729282770601,2010-01-05 22:00:00
60,14.549007443090831,2010-01-06 00:00:00
61,14.590455475408056,2010-01-06 02:00:00
62,14.558057080155228,2010-01-06 04:00:00
63,14.477385015580703,2010-01-06 06:00:00
64,14.412697087053473,2010-01-06 08:00:00
65,14.40771467493448,2010-01-06 10:00:00
66,14.445127181645415,2010-01-06 12:00:00
67,14.465621171508474,2010-01-06 14:00:00
68,14.432301154450228,2010-01-06 16:00:00
69,14.362106004146682,2010-01-06 18:00:00
70,14.310863856948092,2010-01-06 20:00:00
71,14.30946631796548,2010-01-06 22:00:00
72,14.333440283169974,2010-01-07 00:00:00
73,14.292446095250815,2010-01-07 02:00:00
74,14.147390110035259,2010-01-07 04:00:00
75,13.957544783735678,2010-01-07 06:00:00
76,13.821315220185646,2010-01-07 08:00:00
77,13.774155629990325,2010-01-07 10:00:00
78,13.804058249671515,2010-01-07 12:00:00
79,13.881414047724839,2010-01-07 14:00:00
80,13.955788319489166,2010-01-07 16:00:00
81,14.052119350785636,2010-01-07 18:00:00
82,14.125607901384825,2010-01-07 20:00:00
83,14.181981655194502,2010-01-07 22:00:00
84,14.211478663360491,2010-01-08 00:00:00
85,14.202633597305082,2010-01-08 02:00:00
86,14.125484582036366,2010-01-08 04:00:00
87,13.976634352943652,2010-01-08 06:00:00
88,13.83695663623685,2010-01-08 08:00:00
89,13.7655100309935,2010-01-08 10:00:00
90,13.785340689996804,2010-01-08 12:00:00
91,13.886518571667038,2010-01-08 14:00:00
92,14.018614953184501,2010-01-08 16:00:00
93,14.137208688183936,2010-01-08 18:00:00
94,14.243623873137762,2010-01-08 20:00:00
95,14.339124107282322,2010-01-08 22:00:00
96,14.401992875913063,2010-01-09 00:00:00
97,14.40381252648807,2010-01-09 02:00:00
98,14.313820404693363,2010-01-09 04:00:00
99,14.145359668541952,2010-01-09 06:00:00
100,13.965318870323868,2010-01-09 08:00:00
101,13.852151435725228,2010-01-09 10:00:00
102,13.821769458962061,2010-01-09 12:00:00
103,13.894031866836679,2010-01-09 14:00:00
104,14.045404540521409,2010-01-09 16:00:00
105,14.219424966263226,2010-01-09 18:00:00
106,14.390475156838825,2010-01-09 20:00:00
107,14.536504914638705,2010-01-09 22:00:00
108,14.645047779526351,2010-01-10 00:00:00
109,14.680212470230309,2010-01-10 02:00:00
110,14.61009464390817,2010-01-10 04:00:00
111,14.446103546753772,2010-01-10 06:00:00
112,14.229562447952256,2010-01-10 08:00:00
113,14.04241930620865,2010-01-10 10:00:00
114,13.926786039648228,2010-01-10 12:00:00
115,13.907813755036583,2010-01-10 14:00:00
116,13.987032530723278,2010-01-10 16:00:00
117,14.117203744222628,2010-01-10 18:00:00
118,14.261288008208247,2010-01-10 20:00:00
119,14.391291544954269,2010-01-10 22:00:00
120,14.476638400592623,2010-01-11 00:00:00
