,salt_vavg,time
0,12.855342926021606,2010-01-01 00:00:00
1,12.82992077280682,2010-01-01 02:00:00
2,12.823128896068324,2010-01-01 04:00:00
3,12.82492533141542,2010-01-01 06:00:00
4,12.814015915484593,2010-01-01 08:00:00
5,12.792702242011991,2010-01-01 10:00:00
6,12.763439615636843,2010-01-01 12:00:00
7,12.732908565738647,2010-01-01 14:00:00
8,12.712656532960766,2010-01-01 16:00:00
9,12.701570592328258,2010-01-01 18:00:00
10,12.738648134784713,2010-01-01 20:00:00
11,12.885360674321193,2010-01-01 22:00:00
12,13.10564736745889,2010-01-02 00:00:00
13,13.34266417636726,2010-01-02 02:00:00
14,13.544219860185144,2010-01-02 04:00:00
15,13.658417382926105,2010-01-02 06:00:00
16,13.641909124860804,2010-01-02 08:00:00
17,13.480701432243935,2010-01-02 10:00:00
18,13.2204953387014,2010-01-02 12:00:00
19,12.964387482896946,2010-01-02 14:00:00
20,12.828054368303391,2010-01-02 16:00:00
21,12.769099124134346,2010-01-02 18:00:00
22,12.775826913317553,2010-01-02 20:00:00
23,12.888597689029986,2010-01-02 22:00:00
24,13.08486012545837,2010-01-03 00:00:00
25,13.30807988311537,2010-01-03 02:00:00
26,13.51457561699242,2010-01-03 04:00:00
27,13.683549043012452,2010-01-03 06:00:00
28,13.781516537088295,2010-01-03 08:00:00
29,13.726695653943844,2010-01-03 10:00:00
30,13.542864756487612,2010-01-03 12:00:00
31,13.305360632967432,2010-01-03 14:00:00
32,13.104775709703182,2010-01-03 16:00:00
33,12.999973936676065,2010-01-03 18:00:00
34,13.015046460263775,2010-01-03 20:00:00
35,13.17189219185117,2010-01-03 22:00:00
36,13.413906317324885,2010-01-04 00:00:00
37,13.660064303479514,2010-01-04 02:00:00
38,13.860875756707843,2010-01-04 04:00:00
39,14.010408813003187,2010-01-04 06:00:00
40,14.117867525309862,2010-01-04 08:00:00
41,14.17067565135386,2010-01-04 10:00:00
42,14.16195212776739,2010-01-04 12:00:00
43,14.071458487802683,2010-01-04 14:00:00
44,13.943474659055939,2010-01-04 16:00:00
45,13.853403227964263,2010-01-04 18:00:00
46,13.874995124812878,2010-01-04 20:00:00
47,14.015786105107034,2010-01-04 22:00:00
48,14.197040617184772,2010-01-05 00:00:00
49,14.3474519958058,2010-01-05 02:00:00
50,14.433744473694151,2010-01-05 04:00:00
51,14.477418596929288,2010-01-05 06:00:00
52,14.52131116826454,2010-01-05 08:00:00
53,14.573788968239267,2010-01-05 10:00:00
54,14.604720206807784,2010-01-05 12:00:00
55,14.58436296440484,2010-01-05 14:00:00
56,14.511460788127078,2010-01-05 16:00:00
57,14.424980721103289,2010-01-05 18:00:00
58,14.394200940462035,2010-01-05 20:00:00
59,14.448678008304201,2010-01-05 22:00:00
60,14.535459222017632,2010-01-06 00:00:00
61,14.577815047893521,2010-01-06 02:00:00
62,14.546436999466788,2010-01-06 04:00:00
63,14.46521729972521,2010-01-06 06:00:00
64,14.399282520853284,2010-01-06 08:00:00
65,14.394364308729296,2010-01-06 10:00:00
66,14.431874389451917,2010-01-06 12:00:00
67,14.450505126693027,2010-01-06 14:00:00
68,14.415898249041025,2010-01-06 16:00:00
69,14.347373847475785,2010-01-06 18:00:00
70,14.298977562535182,2010-01-06 20:00:00
71,14.299791832827921,2010-01-06 22:00:00
72,14.32385197584928,2010-01-07 00:00:00
73,14.281710979844759,2010-01-07 02:00:00
74,14.134628897624633,2010-01-07 04:00:00
75,13.943913971230849,2010-01-07 06:00:00
76,13.806024171949716,2010-01-07 08:00:00
77,13.755896628787498,2010-01-07 10:00:00
78,13.781313619350303,2010-01-07 12:00:00
79,13.857255918361334,2010-01-07 14:00:00
80,13.947428001819663,2010-01-07 16:00:00
81,14.049262305501092,2010-01-07 18:00:00
82,14.122275319028862,2010-01-07 20:00:00
83,14.17786379743949,2010-01-07 22:00:00
84,14.206819890019144,2010-01-08 00:00:00
85,14.197943029040518,2010-01-08 02:00:00
86,14.120883705204301,2010-01-08 04:00:00
87,13.970932542317737,2010-01-08 06:00:00
88,13.830199164820502,2010-01-08 08:00:00
89,13.758223242863213,2010-01-08 10:00:00
90,13.777385101245898,2010-01-08 12:00:00
91,13.878581042890803,2010-01-08 14:00:00
92,14.010838177360284,2010-01-08 16:00:00
93,14.129076036752153,2010-01-08 18:00:00
94,14.23522758107767,2010-01-08 20:00:00
95,14.330501422906591,2010-01-08 22:00:00
96,14.392700790662365,2010-01-09 00:00:00
97,14.394465589752873,2010-01-09 02:00:00
98,14.30486128640624,2010-01-09 04:00:00
99,14.135925358810749,2010-01-09 06:00:00
100,13.955279783329418,2010-01-09 08:00:00
101,13.841764915730536,2010-01-09 10:00:00
102,13.811148746796395,2010-01-09 12:00:00
103,13.884135190377263,2010-01-09 14:00:00
104,14.036906728014433,2010-01-09 16:00:00
105,14.210201854934102,2010-01-09 18:00:00
106,14.379919770856345,2010-01-09 20:00:00
107,14.52581061471229,2010-01-09 22:00:00
108,14.63490816219285,2010-01-10 00:00:00
109,14.670796457988931,2010-01-10 02:00:00
110,14.600952983324953,2010-01-10 04:00:00
111,14.43659802254652,2010-01-10 06:00:00
112,14.219457108334266,2010-01-10 08:00:00
113,14.031781418517745,2010-01-10 10:00:00
114,13.915454641788225,2010-01-10 12:00:00
115,13.896526789846813,2010-01-10 14:00:00
116,13.977212875792,2010-01-10 16:00:00
117,14.108229102421605,2010-01-10 18:00:00
118,14.251535400363968,2010-01-10 20:00:00
119,14.380307660360101,2010-01-10 22:00:00
120,14.464136226419882,2010-01-11 00:00:00
