,salt_var,gradient,time
0,5.900761356499513,-0.01806736596584546,2010-01-01 00:00:00
1,5.882693990533667,-0.009691388647806942,2010-01-01 02:00:00
2,5.881378579203899,0.0012482231102599606,2010-01-01 04:00:00
3,5.885190436754187,-0.0062847508694647836,2010-01-01 06:00:00
4,5.868809077464969,-0.018760652667552336,2010-01-01 08:00:00
5,5.8476691314190825,-0.023428683148556395,2010-01-01 10:00:00
6,5.8219517111678565,-0.027387725399442786,2010-01-01 12:00:00
7,5.792893680620197,-0.019549865052304938,2010-01-01 14:00:00
8,5.782851981063247,-0.00498689073593761,2010-01-01 16:00:00
9,5.782919899148322,0.11301646801167342,2010-01-01 18:00:00
10,6.0088849170865934,0.6136937870660866,2010-01-01 20:00:00
11,7.010307473280495,1.2427199053243747,2010-01-01 22:00:00
12,8.494324727735343,1.4871726093454507,2010-01-02 00:00:00
13,9.984652691971396,1.3336144836726138,2010-01-02 02:00:00
14,11.16155369508057,0.8962465943296625,2010-01-02 04:00:00
15,11.777145880630721,0.22471164336454752,2010-01-02 06:00:00
16,11.610976981809666,-0.6230202957373061,2010-01-02 08:00:00
17,10.531105289156109,-1.4928098747815834,2010-01-02 10:00:00
18,8.625357232246499,-1.8409892653156357,2010-01-02 12:00:00
19,6.849126758524838,-1.2108649180397948,2010-01-02 14:00:00
20,6.203627396166909,-0.42484878182707986,2010-01-02 16:00:00
21,5.999429194870678,-0.07478621821961573,2010-01-02 18:00:00
22,6.054054959727678,0.3719086622679306,2010-01-02 20:00:00
23,6.743246519406539,0.9854398718906268,2010-01-02 22:00:00
24,8.024934703508931,1.3608310795141327,2010-01-03 00:00:00
25,9.464908678434805,1.3863885251511308,2010-01-03 02:00:00
26,10.797711753811193,1.3019383467301706,2010-01-03 04:00:00
27,12.068785371895146,1.1047265051694675,2010-01-03 06:00:00
28,13.007164764150128,0.16802398803023078,2010-01-03 08:00:00
29,12.404833347955607,-1.0551244044331352,2010-01-03 10:00:00
30,10.896915955283857,-1.6607931308352306,2010-01-03 12:00:00
31,9.083247086285146,-1.6092407414074046,2010-01-03 14:00:00
32,7.678434472469048,-1.0139576039605749,2010-01-03 16:00:00
33,7.0553318783639964,-0.25156936351840287,2010-01-03 18:00:00
34,7.175295745432242,0.6211317561572787,2010-01-03 20:00:00
35,8.297595390678554,1.399338996261144,2010-01-03 22:00:00
36,9.97397373795453,1.6115967648801464,2010-01-04 00:00:00
37,11.520788920438847,1.3380318038341654,2010-01-04 02:00:00
38,12.650037345622861,0.9402385744135842,2010-01-04 04:00:00
39,13.401266069266015,0.6176797173225763,2010-01-04 06:00:00
40,13.885396780268014,0.3280129376557843,2010-01-04 08:00:00
41,14.057291944577583,0.0027128836708181225,2010-01-04 10:00:00
42,13.89082254760965,-0.3555396184522319,2010-01-04 12:00:00
43,13.34621270767312,-0.6400642859912047,2010-01-04 14:00:00
44,12.61069397562724,-0.6488200751651414,2010-01-04 16:00:00
45,12.048572557342837,-0.24726038744024326,2010-01-04 18:00:00
46,12.116173200746754,0.3796632327660525,2010-01-04 20:00:00
47,12.807899022874942,0.7263925793268342,2010-01-04 22:00:00
48,13.568958359400423,0.6022781205190126,2010-01-05 00:00:00
49,14.012455263912967,0.28792709333517763,2010-01-05 02:00:00
50,14.144812546070778,0.05987678781091166,2010-01-05 04:00:00
51,14.13220883953479,-0.029133572926132167,2010-01-05 06:00:00
52,14.086545400218514,-0.05101282997974721,2010-01-05 08:00:00
53,14.030183179575296,-0.06352690113261783,2010-01-05 10:00:00
54,13.959491597953278,-0.08616188415178794,2010-01-05 12:00:00
55,13.85785941127172,-0.1464100269123083,2010-01-05 14:00:00
56,13.666671544128661,-0.241374388581872,2010-01-05 16:00:00
57,13.375110634107976,-0.22133090221395246,2010-01-05 18:00:00
58,13.224009739700756,-0.029172914981132614,2010-01-05 20:00:00
59,13.316764804145711,0.1153325540984591,2010-01-05 22:00:00
60,13.454674847897675,0.08683606064109206,2010-01-06 00:00:00
61,13.490436925427895,-0.03445202858907681,2010-01-06 02:00:00
62,13.385770790719521,-0.17149191717791723,2010-01-06 04:00:00
63,13.14745309107206,-0.24892828073896478,2010-01-06 06:00:00
64,12.887914229241591,-0.18446327462162238,2010-01-06 08:00:00
65,12.778526541828816,-0.043461421574308545,2010-01-06 10:00:00
66,12.800991386092974,0.008525172493601296,2010-01-06 12:00:00
67,12.795576886816018,-0.08822929064556817,2010-01-06 14:00:00
68,12.624532804801838,-0.27280974553994763,2010-01-06 16:00:00
69,12.249957395736123,-0.38952569025521644,2010-01-06 18:00:00
70,11.845481424291405,-0.3016146435539895,2010-01-06 20:00:00
71,11.646728108628144,-0.1095326006458075,2010-01-06 22:00:00
72,11.62641622299979,-0.13676892479588965,2010-01-07 00:00:00
73,11.373190259036365,-0.5255869555220061,2010-01-07 02:00:00
74,10.575242311955778,-0.9039424294954532,2010-01-07 04:00:00
75,9.565305400045458,-0.7967986879509423,2010-01-07 06:00:00
76,8.981644936053893,-0.36086086449967425,2010-01-07 08:00:00
77,8.84358367104611,-0.013838879194466358,2010-01-07 10:00:00
78,8.95396717766496,0.1902271372940536,2010-01-07 12:00:00
79,9.224037945634217,0.15304070376432044,2010-01-07 14:00:00
80,9.260048585193601,0.08414053794168286,2010-01-07 16:00:00
81,9.392319021517583,0.2188013456930129,2010-01-07 18:00:00
82,9.697651276579627,0.24612292785739065,2010-01-07 20:00:00
83,9.884564877232364,0.1411902130367464,2010-01-07 22:00:00
84,9.98003170265312,0.0303756745311059,2010-01-08 00:00:00
